"","idx","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age","batch","cloneType","counts"
"77",77,"D8","Batch 3","Prolif",56,NA,NA,NA,NA,"D10","Batch 3","Prolif",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"D8","Batch 3","Prolif",55,NA,NA,NA,NA,"D10","Batch 1","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"D8","Batch 3","Prolif",11,NA,NA,NA,NA,"D10","Batch 1","Small",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"D8","Batch 4","Prolif",14,NA,NA,NA,NA,"D10","Batch 1","Small",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"D8","Batch 4","Prolif",15,NA,NA,NA,NA,"D10","Batch 2","Small",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"D8","Batch 4","Prolif",9,NA,NA,NA,NA,"D10","Batch 2","Small",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"D8","Batch 4","Prolif",64,NA,NA,NA,NA,"D10","Batch 2","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"D8","Batch 4","Prolif",46,NA,NA,NA,NA,"D10","Batch 2","Small",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"D8","Batch 4","Prolif",11,NA,NA,NA,NA,"D10","Batch 2","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,"D8","Batch 1","Small",4,NA,NA,NA,NA,"D10","Batch 2","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,"D8","Batch 1","Small",2,NA,NA,NA,NA,"D10","Batch 2","Small",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,"D8","Batch 1","Small",5,NA,NA,NA,NA,"D10","Batch 3","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,"D8","Batch 1","Small",3,NA,NA,NA,NA,"D10","Batch 3","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"D8","Batch 1","Small",3,NA,NA,NA,NA,"D10","Batch 3","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"D8","Batch 1","Small",4,NA,NA,NA,NA,"D10","Batch 3","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"D8","Batch 1","Small",4,NA,NA,NA,NA,"D10","Batch 3","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"D8","Batch 1","Small",2,NA,NA,NA,NA,"D10","Batch 3","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,"D8","Batch 1","Small",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,"D8","Batch 2","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"D8","Batch 2","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"D8","Batch 2","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"D8","Batch 2","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"D8","Batch 2","Small",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"D8","Batch 2","Small",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"D8","Batch 2","Small",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"D8","Batch 2","Small",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"D8","Batch 2","Small",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,"D8","Batch 3","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,"D8","Batch 3","Small",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"D8","Batch 3","Small",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,"D8","Batch 4","Small",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"D8","Batch 4","Small",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"D8","Batch 4","Small",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
